GPA;Gender;breakfast;calories_chicken;calories_day;calories_scone;coffee;comfort_food_reasons_coded;cook;cuisine;diet_current_coded;drink;eating_changes_coded;eating_out;employment;ethnic_food;exercise;father_education;father_profession;fav_cuisine_coded;fav_food;food_childhood;fries;fruit_day;grade_level;greek_food;healthy_feeling;ideal_diet_coded;income;indian_food;italian_food;life_rewarding;marital_status;meals_dinner_friend;mother_education;mother_profession;nutritional_check;on_off_campus;parents_cook;pay_meal_out;persian_food;self_perception_weight;soup;sports;thai_food;tortilla_calories;turkey_calories;type_sports;veggies_day;vitamins;waffle_calories;weight
2,6;1;1;610;4;980;2;3;3;2;1;nan;3;4;3;5;1;4;VP of GNC;1;1;chicken tenders, pasta, mac&cheese ;1;5;3;4;8;6;5;4;4;8;2;chicken and pasta, homemade pizza, lasagna ;4;dietitian ;4;1;1;3;4;2;nan;1;4;1165;690;rowing ;5;2;1315;180
3,5;1;1;610;3;420;1;2;1;1;1;1;1;3;2;4;1;2;Owner of New York Lunch;4;3;chicken stir fry, spaghetti, chicken parmesan ;1;5;2;4;3;5;2;3;5;1;2;1. pasta 2. spaghetti 3. chicken and rice ;2;CNA ;4;1;1;2;3;4;2;1;3;940;500;Volleyball;5;1;760;140
3,2;1;1;610;nan;315;2;2;2;2;2;1;1;3;3;3;2;5;Dentist;1;3;Mac and Cheese, Chicken nuggets;1;3;2;3;3;6;6;1;5;3;2;Lasagna, Steak, Pasta ;nan;Periodontist;1;1;2;5;1;2;1;2;4;725;500;None;3;2;900;112
3;1;1;720;3;420;1;3;2;1;1;2;1;2;3;3;nan;2;mechanic ;5;1;Mac and cheese ;1;5;1;4;3;5;4;3;5;3;2;mac and cheese, pizza, chicken ;4;business;4;1;1;3;3;2;1;1;3;940;500;tennis  ;5;1;900;125
3,6;1;1;610;2;420;1;2;4;1;2;2;1;3;2;5;2;2;Truck Driver ;1;1;Mac&Cheese, Chicken Nuggets ;1;5;2;2;2;7;5;2;4;2;2;Lasagna, Pizza, Pasta ;3;Project Manager ;2;1;2;4;1;2;1;1;2;940;690;Recreational Basketball, Equestrian Team;5;2;1315;144
3,2;1;1;430;3;315;1;1;3;1;1;2;1;1;3;4;1;5;Dentist ;1;1;Pasta, pizza, meatballs ;1;5;1;3;8;3;6;2;5;8;2;pasta, chicken parm, tacos ;5;school teacher;3;1;1;4;2;3;1;1;4;725;500;soccer;5;2;760;145
3,67;1;2;720;4;420;2;2;2;nan;2;2;1;2;3;2;2;4;Sales Manager ;1;1;Steak, Garlic and butter noodles, schnitzle;1;3;3;1;3;4;6;1;5;3;2;Steak, pasta, burgers;4;Homemaker;4;2;1;3;1;3;2;2;5;1165;690;None;5;1;1315;130
3,73;1;1;610;3;980;2;2;3;1;1;1;1;1;2;5;2;4;Retired - Bus Driver;1;1;Pizza and Spaghetti;2;5;3;5;3;1;3;5;5;2;2;Pizza, Italian, anything chicken related;2;Stay-At-Home Mom;2;1;1;3;5;3;1;1;5;1165;500;Rec Volleyball;5;1;1315;140
4;1;1;720;nan;420;2;2;2;1;1;1;1;1;2;5;1;2;Transportation ;1;1;Spaghetti ;2;5;3;3;5;3;5;4;5;2;2;Spaghetti, steak, or chicken;4;Social Services;4;1;1;6;3;4;1;1;4;1165;690;Softball;5;1;1315;140
3,1;2;2;610;3;980;2;2;3;1;2;2;1;1;2;4;2;nan;Police Officer;0;2;Pizza Mac n Cheese Pasta;1;5;1;2;3;7;5;3;5;2;1;Pasta, Steak, Chicken;4;Runs a Daycare;2;1;1;2;2;3;1;2;3;1165;345;nan;5;1;1315;140
3,79;2;1;720;4;420;2;2;1;1;2;2;2;4;3;3;1;4;Risk Manager;2;1;Pizza;1;3;2;3;1;3;6;1;5;2;2;chipotle, chick fil a, chicken and rice;2;Customer Service;5;3;1;3;1;3;1;1;2;1165;850;baseball;4;1;1315;200
2,71;2;2;265;2;420;1;9;2;4;4;2;3;1;3;3;2;1;retire;0;2;nan;1;4;3;3;8;8;3;3;3;10;4;rice and Chicken, sea food;1;nan;2;2;3;5;3;3;1;2;3;580;345;nan;4;2;760;nan
3;1;1;610;3;420;2;3;3;1;1;1;1;2;2;5;1;4;car salesman;1;1;salad, chicken, pizza;1;5;1;3;6;2;5;4;5;9;2;Chicken, Spaghetti, Hamburgers;4;RN;4;1;2;4;3;3;1;2;4;940;500;I danced in high school;4;1;900;120
3,7;1;2;610;3;420;1;2;2;1;2;2;1;2;2;2;2;2;dairy farmer;5;3;pizza, mashed potatoes, chocolate chip cookies;1;4;4;2;4;3;3;1;5;4;1;chicken, steak, pizza;5;program director;3;2;1;3;1;4;2;1;1;1165;690;horse back riding;2;2;1315;150
3,1;2;2;265;2;420;1;2;2;1;2;2;2;2;2;1;2;2;Dairy Farmer ;5;2;Pizza and wings ;1;3;4;1;4;7;3;1;4;5;2;Steak, Pizza, Haddock ;5;Programs coordinator ;1;1;1;3;1;3;2;1;2;725;345;Basketball ;2;2;900;200
3;1;1;720;3;420;2;1;2;1;3;1;1;2;2;3;1;2;self employed;4;1;tacos, pizza, chicken wing dip;2;5;2;4;8;3;5;3;4;8;2;mexican chicken, hibachi chicken and rice, steak;2;self employed;4;1;1;3;2;3;1;1;3;580;345;competitive skiing;4;1;1315;135
3,9;2;1;720;3;420;2;2;5;1;2;2;1;1;3;5;1;3;Contract negotiations;4;1;Sloppy joes;1;5;1;5;1;8;6;4;5;3;1;Chicken and vegetables, Roast Beef, pasta;2;none;4;1;1;3;4;2;1;1;5;1165;850;Rowing, Running, and Cycling;4;2;1315;145
3,4;1;1;430;2;420;2;7;3;1;2;2;1;3;2;4;2;2;Police Officer ;1;3;Spaghetti and Meatballs, Steak, and Burgers;1;3;1;3;4;2;4;3;5;1;1;Salad, pasta, and ice cream;4;Legal Secretary;2;1;1;3;3;3;1;2;4;1165;500;nan;2;1;900;130
3,5;1;2;610;3;420;1;2;3;1;2;2;1;3;3;4;1;4;IT;1;1;chicken fingers, pasta, pizza;1;4;4;4;2;3;4;4;5;2;2;steak, mashed potatoes, vegetables ;4;secretary ;2;1;3;5;4;4;2;1;4;725;500;softball and basketball;2;2;900;190
3,7;1;1;265;nan;315;2;2;nan;1;4;2;1;5;3;4;1;4;Works for Kirila Fire;1;1;spaghetti and tacos;1;3;3;3;8;2;3;3;5;7;1;pizza, tacos, pasta;4;works in Loans department in First National Bank;3;1;2;3;3;3;1;1;3;580;345;wrestling;3;2;575;170
3,7;1;1;430;3;420;2;2;2;1;2;1;1;2;nan;5;nan;2;Realtor;2;1;Spaghetti or  chicken panini sandwich ;1;4;1;5;4;5;1;5;5;1;nan;Spaghetti con Chorizo, Carne Asada, Salmon;1;Janitor;3;1;2;2;5;3;1;1;5;940;690;Marching Band;4;2;1315;127
3,83;1;1;720;3;420;2;3;1;1;1;2;2;2;3;5;1;4;Solar Engineering ;2;3;Spaghetti and Pop-tarts;1;5;2;5;9;5;5;5;5;9;2;Stuffed chicken breasts, spagetti carbonara, breakfast for dinner ;3;Yoga Instructor ;5;1;1;3;4;2;1;1;5;725;690;Collegiate Water Polo;5;1;760;167
2,6;1;1;265;3;315;2;1;3;1;3;2;1;3;2;3;3;5;Lawyer;4;3;Pasta, breakfast for dinner, pizza;1;5;1;4;7;5;6;2;5;7;2;Pasta, breakfast for dinner, pizza;3;Nurse;3;1;2;3;3;3;1;2;3;580;500;None right now;4;1;760;140
3;1;1;610;3;420;2;2;2;1;1;2;2;1;3;4;2;2;Service Technition;4;3;peanut butter and jelly, celery and peanut butter, hot pockets ;1;5;1;4;3;5;6;4;5;1;1;Pizza, Chicken and rice and pasta;4;Sales Manager at Business First;5;1;1;3;3;4;1;1;4;580;500;volleyball, lacrosse;4;1;900;190
3,2;2;1;720;3;420;1;3;4;1;2;2;1;2;2;3;1;4;engineer ;5;2;pizza;1;4;2;1;5;2;6;1;5;4;1;Pasta, pizza, and chicken;5;principal ;2;1;1;3;1;4;1;1;1;1165;690;field hockey;4;1;1315;155
3,5;2;2;720;4;980;2;9;nan;1;2;2;2;1;2;5;1;2;handyman;2;1;Quesadilla, chocolate, steak;1;4;3;5;7;6;2;5;5;1;1;burritos, pasta, chicken;nan;home cleaner;5;1;1;4;5;2;1;2;5;1165;850;nan;4;1;1315;175
3,2;1;1;610;3;420;2;1;3;nan;2;1;2;2;2;5;1;4;cross-guard ;4;1;Jollof Rice, Bread, pasta ;2;5;3;4;7;2;3;5;5;1;1;Rice with vegetables, chicken with pasta, salad;2;A teacher ;5;1;2;3;4;3;1;2;5;1165;500;none ;5;1;900;129
3,68;2;1;720;4;420;2;2;4;nan;1;2;2;2;3;3;1;2;Project manager;1;1;Chinese food, pizza, chicken adobo;1;5;1;4;7;4;6;3;5;8;1;any Chinese food, pasta, burgers;3;Secretary ;2;1;1;4;3;4;2;1;3;1165;850;Fotball;4;1;1315;260
3,8;1;2;610;2;420;2;2;2;1;2;2;1;3;2;2;2;5;Teacher;5;3;Pasta, chicken, pizza ;1;2;3;1;5;2;6;1;4;2;2;Pasta, chicken, pizza ;5;Teacher;3;2;3;3;1;3;1;2;1;725;500;crew;1;2;900;135
3,3;2;2;720;nan;420;2;1;2;1;2;2;2;5;2;1;3;2;Truck Driver;5;1;Steak, Chicken Tenders, Pizza;1;1;3;1;8;3;3;1;5;1;2;Chicken, Pork Chops, Steak;3;Customer Service Representative ;2;1;1;3;1;4;1;1;1;1165;690;Football, Basketball, Volleyball, Golf;4;2;900;190
3,2;2;1;720;nan;420;2;2;4;1;2;2;1;2;3;5;3;5;Senior Manager;1;1;Spaghetti, Italian potato soup;1;4;1;4;6;2;4;5;5;6;1;Salmon, hamburger surprise, Italian potato soup;4;Stay at home mother;1;1;1;4;5;3;1;2;5;1165;690;nan;5;2;1315;165
3,75;2;1;610;3;420;2;5;2;nan;1;2;1;2;nan;5;1;4;information systems architect;1;1;steak, spaghetti, salmon;1;5;4;5;7;7;6;5;5;6;2;salmon, steak, spaghetti squash;4;teacher;4;1;1;3;5;3;1;1;5;940;690;hockey, soccer, golf;5;1;1315;175
3,5;2;1;265;nan;420;2;2;3;1;2;2;1;2;3;4;1;4;Supervisor;5;3;Macaroni and Cheese;1;4;3;4;10;6;5;3;5;10;2;Pasta, fish, steak;4;Treasurer;3;1;1;3;3;2;2;1;4;1165;690;Wrestling;4;2;1315;184
3,92;2;1;430;3;420;2;7;2;2;2;2;2;2;2;4;2;2;Delivery Man For Fritolay;1;3;Pizza;1;3;1;3;2;2;6;3;5;8;1;Pizza, chicken, pasta;5;Special Ed Teacher;2;1;2;3;3;6;1;2;3;725;500;Soccer;2;1;900;210
3,9;1;1;720;3;420;2;2;3;1;1;2;2;2;2;3;1;5;nan;1;1;Chicken Parm, Spaghetti, and Grilled Cheese;1;5;2;2;1;2;5;2;5;1;1;Chicken Parm, Baked Ziti, Shrimp Alfredo ;3;Accountant ;4;1;1;5;1;3;1;1;3;1165;500;Running ;5;2;760;155
3,9;2;1;720;3;315;1;3;4;6;2;2;2;5;3;5;2;4;Business Owner;1;nan;Chicken parmigiana, wedding soup, pasta;1;5;4;5;8;3;6;5;5;1;2;Chicken parmigiana, pasta, wedding soup;2;Homemaker;3;4;3;6;1;4;1;1;5;1165;690;Tennis;4;1;1315;185
3,2;1;1;430;4;420;1;3;4;2;2;1;2;3;2;3;nan;3;business owner;1;1;chicken, macaroni & cheese, cheesy potatoes;1;5;1;3;3;4;4;1;5;2;2;chicken alfredo, chicken parmesan, spaghetti;4;certified accountant;2;1;1;3;1;3;1;1;1;1165;690;softball;5;1;900;165
3,5;1;1;610;3;nan;2;3;3;1;1;1;1;2;2;5;2;2;Beacon Light ;1;1;Spaghetti, Tuna noodle casserole, Italian sausage;1;5;1;5;2;4;2;5;5;1;2;spaghetti, steak, lasagna ;2;nothing ;2;1;1;2;5;2;1;1;5;nan;500;Volleyball, Track;5;2;900;125
3,4;1;1;610;nan;420;2;2;3;1;2;2;1;2;2;5;3;4;salesman;4;3;chicken nuggets, macaroni and cheese;1;5;1;5;3;2;5;4;5;3;1;nan;4;social worker;4;1;1;2;4;5;1;2;3;1165;500;nan;5;2;1315;160
nan;1;1;610;4;420;2;3;2;1;1;2;2;3;3;5;1;5;Mechanical Engineer;1;3;Pizza;1;5;2;2;7;3;nan;1;5;7;1;nan;5;Secretary;5;1;2;3;1;4;1;2;2;940;500;nan;5;1;900;135
3,7;1;1;610;3;420;2;8;2;1;1;1;1;2;2;5;2;4;GE Salesman;8;1;Tortellini and Broccoli with parmesan cheese and homemade breaded chicken with sweet potato;1;5;3;3;4;2;4;5;5;8;1;Spaghetti and pasta, seasoned salmon with steamed or boiled broccoli, or soup with ritz crackers if I was busy that day.;4;Respiratory Therapist;4;1;2;3;3;6;1;2;3;725;345;When I can, rarely though play pool, darts, and basketball.;5;1;760;130
nan;1;1;720;3;420;2;2;4;1;2;2;1;2;2;4;nan;4;Business Owner;1;3;Chicken Marsala, Manicotti, Mashed Potatoes;1;4;1;3;9;2;5;3;5;3;1;Pasta, Burgers and Fries, Chicken Marsala;3;Substitute Secretary;4;1;2;4;2;5;2;2;5;940;690;None at the moment;5;1;1315;230
3;1;1;720;3;420;2;2;3;1;2;2;1;3;nan;4;2;4;Ford Plant employee;1;3;hot dogs, chicken fingers, mashed potatoes;1;3;4;5;2;5;4;3;5;1;2;Chicken rice and asparagus, pizza, something easy in the crockpot;3;Insurance Coordinator;2;2;1;5;4;3;2;1;3;1165;690;volleyball;2;2;1315;125
3;1;1;430;3;315;2;;2;nan;1;1;2;5;nan;5;2;5;Clinical Researcher;4;1;Chicken Biryani, Dad's burgers, Chicken curry;1;5;1;5;7;1;1;5;5;6;1;"Marinated nuts, prawn crackers, drink of their choice, mixed veggie crackers
Rice, chicken curry, lentil, pickle, potato kebab
Lemon Meringue Pie";4;Supervisor;4;1;1;3;4;4;1;2;4;580;500;None;5;2;760;130
3,8;1;1;430;3;420;1;;2;1;1;1;1;2;2;4;1;3;Retired ;1;3;dino chicken nuggets;1;4;2;3;5;2;4;3;5;4;1;Pasta, Croque Madam, chicken ;3;Travel Agent;2;1;1;3;2;4;1;2;5;1165;690;I used to play softball ;4;2;900;165
3,8;1;1;430;2;420;2;;5;1;1;2;1;2;3;2;1;4;Sales;1;2;Spaghetti and chicken parm;1;5;2;2;6;1;6;5;5;5;2;Steak, salmon, chicken parm;3;Real Estate;4;1;2;3;2;3;1;1;2;580;345;Ice hockey;5;2;760;128
3,4;1;1;610;3;420;2;;2;1;2;2;2;3;2;2;3;5;School Library Media Specialist ;1;2;Chicken parm. ;1;4;2;2;5;2;6;1;5;1;1;Spaghetti, Grilled Chicken, Pizza ;5;School Library Media Specialist ;4;1;2;3;1;5;1;2;2;940;690; None;3;1;1315;200
3,7;1;1;610;3;315;1;;3;2;2;1;1;4;3;3;2;4;Retired;1;1;Spaghetti;1;3;4;4;8;2;3;3;5;9;2;Grilled chicken, Spaghetti, Alfredo ;4;Deceased;3;2;2;4;4;3;1;1;3;580;690;Volleyball;3;2;900;160
2,9;2;1;265;2;980;2;;2;nan;1;2;2;2;2;3;2;2;nan;0;1;Pizza, Pita, Lasagna;1;3;3;5;9;2;5;1;3;7;1;nan;2;nan;4;3;1;6;1;3;1;2;1;725;345;nan;3;2;1315;170
3,9;1;1;610;4;315;2;;1;1;1;1;2;4;3;5;1;5;Mechanical Engineer ;1;3;Mac & Cheese, Chicken, Stir Fry ;1;5;4;5;10;4;6;5;5;9;2;Dinner, Lunch, Dessert ;5;Fourth Grade Teacher ;4;1;2;3;5;3;1;2;5;725;500;nan;3;2;900;129
3,6;1;1;430;2;420;1;;2;1;2;2;1;3;2;3;2;4;Teacher;1;1;Mac and Cheese ;1;4;4;3;9;7;6;2;5;1;2;Beef Stroganoff, Chicken and Mashed Potatoes, Tacos ;4;Accountant ;4;1;2;3;3;4;1;2;2;1165;690;None;2;2;900;170
2,8;2;1;610;3;315;2;;3;4;2;2;1;3;3;4;2;5;Politician;4;3;Dumplings, Chicken Curry and Pizza;1;4;2;3;7;2;3;5;4;7;2;Meat, meat and meat;5;Works in WWF, world wild life fund;3;1;1;5;3;1;1;1;5;940;850;Tennis, Basketball;3;2;760;138
3,3;2;1;610;4;980;2;;4;1;2;2;1;2;2;2;1;5;Pharmaceutical;0;3;Pasta, Pizza, Popcorn;1;5;1;1;10;3;6;1;4;10;2;Pasta, Chicken, Pizza;5;Health teacher;1;1;1;5;2;2;1;1;1;1165;690;Hockey;2;2;1315;150
3,4;1;1;610;nan;420;2;;3;nan;2;1;1;4;3;4;2;3;Business Man;4;2;Fry Chicken, Rice Vegetable;1;5;1;1;5;5;1;3;5;2;1;Rice and Peas and Chicken, Jerk Chicken and Shrimp;3;Business Woman;2;1;2;3;1;4;1;2;5;725;345;none;5;1;1315;170
3,77;1;1;610;nan;315;2;;3;4;1;1;2;2;2;4;nan;2;His own business;4;3;Noodle, Wings, and Tiramisu;1;3;2;2;9;2;2;2;4;7;1;Vietnamese fried rolls, Pho, Some kinds of noodles.;2;Her own business;2;1;1;2;2;4;1;2;5;725;690;No, I don't play sport.;3;1;760;113
3,63;1;1;430;3;420;1;;3;1;2;1;2;2;2;4;2;2;HVAC technician ;5;1;Chinese;1;5;2;3;5;5;3;3;5;8;2;Chinese tacos or pasta ;2;Grieveance coordinator of the SCI albion prison ;2;3;3;4;2;4;1;2;4;940;345;None;5;2;1315;140
3,2;2;1;610;3;420;2;;2;5;2;1;2;2;2;5;2;5;United Nations;8;3;pizza, burger, pasta;1;5;4;5;7;3;2;5;5;6;2;Chicken, Rice, Vegetables;5;Banker;2;1;1;3;5;4;1;1;5;1165;690;Soccer;5;2;1315;185
3,5;1;1;610;4;420;2;;3;1;2;2;1;2;1;4;2;4;Accountant ;1;1;Stromboli Mac and Cheese and Pizza;1;5;4;5;5;6;4;3;5;7;1;pasta, fish, steak;3;Radiological Technician ;5;3;1;4;3;4;1;1;5;940;500;Softball;5;1;1315;156
3;1;1;265;2;315;2;;3;nan;2;1;1;4;3;3;2;5;Doctor;2;1;Isombe , Plantains and Ugali;1;4;4;1;5;5;2;5;5;7;1;"Fried Rice 
Baked potatoes 
Curry Chicken";2;Public Health Advisor ;3;1;3;4;1;4;1;nan;4;940;500;basketball ;5;2;1315;180
3,882;1;1;720;nan;420;1;;3;nan;2;1;1;3;3;5;2;5;CEO of company;4;1;Rice and potato;1;4;3;5;6;2;2;5;3;10;1;meat, rice, kimchi;1;Real Estate manageer;3;1;2;4;5;4;1;2;5;580;690;none;4;2;1315;120
3;2;1;720;4;420;1;;3;1;1;2;1;5;2;2;1;3;Store manager at Giant Eagle;1;3;pizza and spaghetti ;1;5;1;1;1;6;4;1;5;1;1;Pizza, Spaghetti, Baked Ziti;2;Receptionist for a medical supply company;4;1;2;3;1;2;2;2;1;940;500;nan;3;1;1315;135
3,9;1;1;430;nan;315;2;;nan;3;1;1;2;1;2;3;2;4;Journalist;2;1;rice, beans, and chicken / pizza/ tenders;1;3;3;2;3;3;5;2;3;5;2;Vegetables, Meat, and rice.;3;House-wife;5;1;3;3;2;3;1;2;2;725;345;nan;4;2;575;135
